时间,经度,纬度,GPS状态
14:14:52,30.501632383333334,114.42676894166667,4
14:14:53,30.501632286666666,114.42676910333333,4
14:14:54,30.501632135,114.42676891833334,4
14:14:55,30.501632408333332,114.42676905333333,4
14:14:56,30.501632393333335,114.426769245,4
14:14:57,30.501632425,114.42676914166667,4
14:14:58,30.501632435,114.4267691,4
14:14:59,30.50163244,114.42676901666667,4
14:15:0,30.501632435,114.42676904333334,4
14:15:1,30.501632421666667,114.42676902333334,4
14:15:2,30.501632465,114.42676903666667,4
14:15:3,30.501632445,114.42676901333333,4
14:15:4,30.501632425,114.42676911833334,4
14:15:5,30.501632361666665,114.42676924833333,4
14:15:6,30.501632376666667,114.426769445,4
14:15:7,30.501632431666668,114.426769325,4
14:15:8,30.501632453333333,114.42676938666666,4
14:15:9,30.501632461666667,114.426769355,4
14:15:10,30.501632448333332,114.42676934833334,4
14:15:11,30.501632446666665,114.42676938166667,4
14:15:12,30.501632465,114.42676932666667,4
14:15:13,30.50163247,114.42676931166666,4
14:15:14,30.501632453333333,114.42676935833333,4
14:15:15,30.501632435,114.42676936333334,4
14:15:16,30.50163244,114.42676936,4
14:15:17,30.501632441666665,114.42676940666666,4
14:15:18,30.501632498333333,114.42676938666666,4
14:15:19,30.501632505,114.42676937333333,4
14:15:20,30.501632473333334,114.42676939166667,4
14:15:21,30.501632495,114.42676941333333,4
14:15:22,30.501632495,114.426769385,4
14:15:23,30.501632488333332,114.426769415,4
14:15:24,30.501632481666668,114.426769405,4
14:15:25,30.501632503333333,114.42676938833333,4
14:15:26,30.501632491666665,114.42676941166667,4
14:15:27,30.501632488333332,114.42676939333333,4
14:15:28,30.501632521666668,114.42676937666667,4
14:15:29,30.501632496666666,114.426769345,4
14:15:30,30.501632478333335,114.42676925166667,4
14:15:31,30.501632485000002,114.42676936333334,4
14:15:32,30.501632481666668,114.42676932666667,4
14:15:33,30.501632491666665,114.42676918833334,4
14:15:34,30.50163237,114.42676930333333,4
14:15:35,30.501632476666668,114.42676934666666,4
14:15:36,30.50163249,114.42676935833333,4
14:15:37,30.50163244333333,114.426769435,4
14:15:38,30.501632473333334,114.42676923166667,4
14:15:39,30.50163245,114.42676919666667,4
14:15:40,30.501632473333334,114.426769135,4
14:15:41,30.501632478333335,114.42676910333333,4
14:15:42,30.501632451666666,114.42676908166666,4
14:15:43,30.50163248,114.42676907833334,4
14:15:44,30.501632491666665,114.42676912166667,4
14:15:45,30.501632481666668,114.4267691,4
14:15:46,30.501632511666667,114.42676914,4
14:15:47,30.50163251,114.426769105,4
14:15:48,30.501632461666667,114.42676917666667,4
14:15:49,30.50163244,114.42676919166666,4
14:15:50,30.501632463333333,114.42676916333333,4
14:15:51,30.501632506666667,114.42676917833333,4
14:15:52,30.50163249,114.42676916833334,4
14:15:53,30.50163251,114.42676922333334,4
14:15:54,30.50163244,114.4267693,4
14:15:55,30.501632453333333,114.42676915333334,4
14:15:56,30.501632403333332,114.426768795,4
14:15:57,30.501632411666666,114.42676878,4
14:15:58,30.50163233,114.42676874,4
14:15:59,30.501632406666666,114.42676872166666,4
14:16:0,30.501632348333334,114.426769205,4
14:16:1,30.501632416666666,114.426769025,4
14:16:2,30.501632418333333,114.42676905833333,4
14:16:3,30.501632521666668,114.426768995,4
14:16:4,30.501632516666668,114.42676898,4
14:16:5,30.501632488333332,114.42676908333334,4
14:16:6,30.501632495,114.42676912166667,4
14:16:7,30.501632546666666,114.42676907666667,4
14:16:8,30.501632468333334,114.42676895666666,4
14:16:9,30.501632503333333,114.42676923833334,4
14:16:10,30.501632598333334,114.42676932666667,4
14:16:11,30.501633336666668,114.426769795,4
14:16:12,30.501635996666668,114.42676886833334,4
14:16:13,30.501640285,114.42676986166667,4
14:16:14,30.501642921666665,114.42677001333334,4
14:16:15,30.501645245,114.426770065,4
14:16:16,30.501647916666666,114.42677042166666,4
14:16:17,30.501649666666665,114.42677053833333,4
14:16:18,30.501648983333332,114.42676891,4
14:16:19,30.501646416666667,114.42676070666667,4
14:16:20,30.501647658333333,114.42674768333333,4
14:16:21,30.501649953333335,114.426731865,4
